0.20	0.00	18.20	45.11	-163.09	211.67	-136.12	43.27	-5.39		
0.20	2.50	19.67	26.52	-112.36	152.52	-100.99	32.80	-4.14		
0.20	5.00	20.95	13.52	-79.79	116.72	-80.57	26.87	-3.45		
0.20	7.50	22.09	3.97	-58.03	94.42	-68.43	23.43	-3.05		
0.20	10.00	23.12	-3.39	-42.92	80.19	-61.11	21.42	-2.82		
0.20	12.50	24.07	-9.33	-31.88	70.80	-56.66	20.25	-2.68		
0.20	15.00	24.95	-14.39	-23.28	64.21	-53.82	19.54	-2.60		
0.20	17.50	25.78	-18.85	-16.24	59.37	-51.98	19.12	-2.56		
0.20	20.00	26.55	-22.86	-10.32	55.75	-50.84	18.91	-2.53		
0.20	22.50	27.28	-26.47	-5.34	53.15	-50.28	18.86	-2.53		
0.20	25.00	27.98	-29.76	-1.12	51.34	-50.16	18.95	-2.54		
0.40	0.00	18.20	45.05	-162.94	211.51	-136.03	43.25	-5.39		
0.40	2.50	19.67	26.48	-112.26	152.41	-100.93	32.78	-4.14		
0.40	5.00	20.95	13.49	-79.72	116.65	-80.53	26.86	-3.45		
0.40	7.50	22.09	3.97	-58.04	94.44	-68.44	23.44	-3.05		
0.40	10.00	23.12	-3.36	-42.98	80.28	-61.17	21.44	-2.82		
0.40	12.50	24.07	-9.34	-31.86	70.77	-56.64	20.25	-2.68		
0.40	15.00	24.95	-14.39	-23.26	64.17	-53.79	19.53	-2.60		
0.40	17.50	25.78	-18.86	-16.21	59.32	-51.95	19.11	-2.55		
0.40	20.00	26.55	-22.84	-10.37	55.81	-50.87	18.92	-2.53		
0.40	22.50	27.28	-26.46	-5.36	53.16	-50.28	18.86	-2.53		
0.40	25.00	27.98	-29.75	-1.16	51.38	-50.18	18.95	-2.54		
0.60	0.00	18.21	44.95	-162.70	211.26	-135.89	43.21	-5.38		
0.60	2.50	19.67	26.45	-112.19	152.35	-100.91	32.78	-4.14		
0.60	5.00	20.95	13.47	-79.65	116.57	-80.48	26.85	-3.45		
0.60	7.50	22.09	3.97	-58.01	94.38	-68.40	23.43	-3.05		
0.60	10.00	23.12	-3.34	-43.02	80.29	-61.17	21.44	-2.82		
0.60	12.50	24.07	-9.27	-32.02	70.93	-56.73	20.27	-2.69		
0.60	15.00	24.94	-14.32	-23.40	64.31	-53.86	19.55	-2.60		
0.60	17.50	25.77	-18.76	-16.43	59.54	-52.07	19.15	-2.56		
0.60	20.00	26.54	-22.74	-10.58	56.00	-50.97	18.94	-2.54		
0.60	22.50	27.27	-26.34	-5.63	53.44	-50.43	18.90	-2.53		
0.60	25.00	27.96	-29.65	-1.34	51.54	-50.26	18.97	-2.54		
0.80	0.00	18.21	44.89	-162.57	211.17	-135.87	43.21	-5.38		
0.80	2.50	19.67	26.49	-112.29	152.48	-100.99	32.81	-4.14		
0.80	5.00	20.94	13.58	-79.90	116.82	-80.63	26.89	-3.45		
0.80	7.50	22.07	4.16	-58.48	94.88	-68.68	23.50	-3.06		
0.80	10.00	23.10	-3.09	-43.60	80.90	-61.50	21.53	-2.83		
0.80	12.50	24.04	-9.00	-32.65	71.59	-57.08	20.36	-2.70		
0.80	15.00	24.92	-14.02	-24.11	65.03	-54.24	19.65	-2.61		
0.80	17.50	25.74	-18.45	-17.14	60.25	-52.43	19.24	-2.57		
0.80	20.00	26.51	-22.40	-11.37	56.80	-51.39	19.05	-2.55		
0.80	22.50	27.24	-26.00	-6.43	54.23	-50.84	19.01	-2.54		
0.80	25.00	27.93	-29.27	-2.24	52.45	-50.73	19.09	-2.56		
1.00	0.00	18.20	44.65	-161.94	210.56	-135.62	43.18	-5.38		
